Function,DLL,Occurence,Family,Associated
Thread32Next,KERNEL32,3,"{""rozena"": 3}",Injection
ResetEvent,KERNEL32,7,"{""rozena"": 7}",
QueryPerformanceFrequency,KERNEL32,7,"{""rozena"": 7}",Anti-Debugging
IsBadReadPtr,KERNEL32,3,"{""rozena"": 3}",
GlobalFree,KERNEL32,4,"{""rozena"": 4}",
GlobalMemoryStatusEx,KERNEL32,3,"{""rozena"": 3}",
SetProcessWorkingSetSize,KERNEL32,3,"{""rozena"": 3}",
GetProcessId,KERNEL32,3,"{""rozena"": 3}",Enumeration
PulseEvent,KERNEL32,3,"{""rozena"": 3}",
SetPriorityClass,KERNEL32,3,"{""rozena"": 3}",
GetComputerNameW,KERNEL32,3,"{""rozena"": 3}",
ProcessIdToSessionId,KERNEL32,3,"{""rozena"": 3}",
WTSGetActiveConsoleSessionId,KERNEL32,3,"{""rozena"": 3}",
GetLogicalProcessorInformation,KERNEL32,3,"{""rozena"": 3}",Anti-Debugging
GlobalMemoryStatus,KERNEL32,3,"{""rozena"": 3}",
GetProcessAffinityMask,KERNEL32,4,"{""rozena"": 3, ""shelm"": 1}",
SetProcessAffinityMask,KERNEL32,3,"{""rozena"": 3}",
GetProcessWorkingSetSize,KERNEL32,3,"{""rozena"": 3}",
DeviceIoControl,KERNEL32,9,"{""rozena"": 9}",Helper
DuplicateHandle,KERNEL32,9,"{""rozena"": 8, ""shelm"": 1}",
OutputDebugStringW,KERNEL32,3,"{""rozena"": 3}",
CreateJobObjectW,KERNEL32,3,"{""rozena"": 3}",
QueryInformationJobObject,KERNEL32,3,"{""rozena"": 3}",
IsProcessInJob,KERNEL32,3,"{""rozena"": 3}",
GetNativeSystemInfo,KERNEL32,3,"{""rozena"": 3}",Anti-Debugging
ExpandEnvironmentStringsA,KERNEL32,7,"{""rozena"": 7}",
GetCurrentThread,KERNEL32,7,"{""rozena"": 7}",Enumeration
WaitForMultipleObjects,KERNEL32,4,"{""rozena"": 3, ""shelm"": 1}",Evasion
GetPrivateProfileStringW,KERNEL32,3,"{""rozena"": 3}",
FindFirstFileW,KERNEL32,3,"{""rozena"": 3}",
GetFileAttributesW,KERNEL32,3,"{""rozena"": 3}",
Process32NextW,KERNEL32,3,"{""rozena"": 3}",
Process32FirstW,KERNEL32,3,"{""rozena"": 3}",
CreateToolhelp32Snapshot,KERNEL32,3,"{""rozena"": 3}",Anti-Debugging
GetNumberFormatW,KERNEL32,3,"{""rozena"": 3}",
GetDateFormatW,KERNEL32,3,"{""rozena"": 3}",
GetTimeFormatW,KERNEL32,3,"{""rozena"": 3}",
GetLocaleInfoW,KERNEL32,7,"{""rozena"": 7}",
IsWow64Process,KERNEL32,3,"{""rozena"": 3}",
GetSystemWow64DirectoryW,KERNEL32,3,"{""rozena"": 3}",
GetSystemWindowsDirectoryW,KERNEL32,3,"{""rozena"": 3}",
LoadLibraryW,KERNEL32,8,"{""rozena"": 7, ""shelm"": 1}",
CreateFileMappingW,KERNEL32,7,"{""rozena"": 3, ""shelma"": 4}",
lstrlenW,KERNEL32,7,"{""rozena"": 7}",
UnmapViewOfFile,KERNEL32,7,"{""rozena"": 3, ""shelma"": 4}",Helper
MapViewOfFile,KERNEL32,8,"{""rozena"": 4, ""shelma"": 4}",Injection
FormatMessageA,KERNEL32,8,"{""rozena"": 8}",
FileTimeToLocalFileTime,KERNEL32,4,"{""rozena"": 4}",
GetFileTime,KERNEL32,3,"{""rozena"": 3}",Enumeration
SetErrorMode,KERNEL32,9,"{""rozena"": 8, ""shelm"": 1}",
ExitThread,KERNEL32,7,"{""rozena"": 7}",
GetLongPathNameW,KERNEL32,3,"{""rozena"": 3}",
GetVersion,KERNEL32,7,"{""rozena"": 7}",
InterlockedDecrement,KERNEL32,7,"{""rozena"": 7}",
InterlockedIncrement,KERNEL32,7,"{""rozena"": 7}",
lstrlenA,KERNEL32,7,"{""rozena"": 7}",
ReadConsoleInputA,KERNEL32,3,"{""rozena"": 3}",
SetConsoleMode,KERNEL32,3,"{""rozena"": 3}",
IsValidLocale,KERNEL32,7,"{""rozena"": 7}",
GetUserDefaultLCID,KERNEL32,7,"{""rozena"": 7}",
EnumSystemLocalesW,KERNEL32,3,"{""rozena"": 3}",
GetConsoleCP,KERNEL32,12,"{""rozena"": 8, ""shelma"": 4}",
SetEnvironmentVariableA,KERNEL32,7,"{""rozena"": 7}",Evasion
SetEvent,KERNEL32,9,"{""rozena"": 8, ""shelm"": 1}",
GetWindow,USER32,3,"{""rozena"": 3}",
GetGuiResources,USER32,3,"{""rozena"": 3}",
LoadBitmapW,USER32,3,"{""rozena"": 3}",
CopyImage,USER32,3,"{""rozena"": 3}",
GetDesktopWindow,USER32,3,"{""rozena"": 3}",Helper
KillTimer,USER32,7,"{""rozena"": 7}",
MsgWaitForMultipleObjects,USER32,3,"{""rozena"": 3}",
GetDlgCtrlID,USER32,3,"{""rozena"": 3}",
CheckRadioButton,USER32,3,"{""rozena"": 3}",
SendMessageTimeoutW,USER32,3,"{""rozena"": 3}",
PeekMessageW,USER32,3,"{""rozena"": 3}",
IsHungAppWindow,USER32,3,"{""rozena"": 3}",
LockWorkStation,USER32,3,"{""rozena"": 3}",
