Function,DLL,Occurence,Family,Associated
WSADuplicateSocketW,WS2_32,3,{'tetanus': 3}
WSAGetLastError,WS2_32,3,{'tetanus': 3}
WSAIoctl,WS2_32,3,{'tetanus': 3},Internet
WSAPoll,WS2_32,3,{'tetanus': 3}
WSARecv,WS2_32,3,{'tetanus': 3}
WSARecvFrom,WS2_32,3,{'tetanus': 3}
WSASend,WS2_32,3,{'tetanus': 3}
WSASendTo,WS2_32,3,{'tetanus': 3}
WSASetLastError,WS2_32,3,{'tetanus': 3}
WSASocketW,WS2_32,3,{'tetanus': 3}
WSAStartup,WS2_32,3,{'tetanus': 3},Internet
__WSAFDIsSet,WS2_32,3,{'tetanus': 3}
accept,WS2_32,3,{'tetanus': 3}
bind,WS2_32,3,{'tetanus': 3}
closesocket,WS2_32,3,{'tetanus': 3}
connect,WS2_32,3,{'tetanus': 3}
freeaddrinfo,WS2_32,3,{'tetanus': 3}
getaddrinfo,WS2_32,3,{'tetanus': 3}
gethostbyname,WS2_32,3,{'tetanus': 3}
getnameinfo,WS2_32,3,{'tetanus': 3}
getpeername,WS2_32,3,{'tetanus': 3}
getsockname,WS2_32,3,{'tetanus': 3}
getsockopt,WS2_32,3,{'tetanus': 3}
ioctlsocket,WS2_32,3,{'tetanus': 3},Internet
listen,WS2_32,3,{'tetanus': 3}
ntohs,WS2_32,3,{'tetanus': 3}
recv,WS2_32,3,{'tetanus': 3}
recvfrom,WS2_32,3,{'tetanus': 3}
select,WS2_32,3,{'tetanus': 3}
send,WS2_32,3,{'tetanus': 3}
sendto,WS2_32,3,{'tetanus': 3}
setsockopt,WS2_32,3,{'tetanus': 3}
shutdown,WS2_32,3,{'tetanus': 3}
socket,WS2_32,3,{'tetanus': 3}
BCryptCloseAlgorithmProvider,BCRYPT,3,{'tetanus': 3}
BCryptCreateHash,BCRYPT,3,{'tetanus': 3}
BCryptDecrypt,BCRYPT,3,{'tetanus': 3}
BCryptDeriveKey,BCRYPT,3,{'tetanus': 3}
BCryptDestroyHash,BCRYPT,3,{'tetanus': 3}
BCryptDestroyKey,BCRYPT,3,{'tetanus': 3}
BCryptDestroySecret,BCRYPT,3,{'tetanus': 3}
BCryptEncrypt,BCRYPT,3,{'tetanus': 3}
BCryptExportKey,BCRYPT,3,{'tetanus': 3}
BCryptFinalizeKeyPair,BCRYPT,3,{'tetanus': 3}
BCryptFinishHash,BCRYPT,3,{'tetanus': 3}
BCryptGenRandom,BCRYPT,3,{'tetanus': 3}
BCryptGenerateKeyPair,BCRYPT,3,{'tetanus': 3}
BCryptGetProperty,BCRYPT,3,{'tetanus': 3}
BCryptHashData,BCRYPT,3,{'tetanus': 3}
BCryptImportKey,BCRYPT,3,{'tetanus': 3}
BCryptImportKeyPair,BCRYPT,3,{'tetanus': 3}
BCryptOpenAlgorithmProvider,BCRYPT,3,{'tetanus': 3}
BCryptSecretAgreement,BCRYPT,3,{'tetanus': 3}
BCryptSetProperty,BCRYPT,3,{'tetanus': 3}
BCryptSignHash,BCRYPT,3,{'tetanus': 3}
BCryptVerifySignature,BCRYPT,3,{'tetanus': 3}
CertAddCertificateContextToStore,CRYPT32,3,{'tetanus': 3}
CertAddEncodedCTLToStore,CRYPT32,3,{'tetanus': 3}
CertAddEncodedCertificateToStore,CRYPT32,3,{'tetanus': 3}
CertCloseStore,CRYPT32,3,{'tetanus': 3}
CertCreateCertificateContext,CRYPT32,3,{'tetanus': 3}
CertDeleteCertificateFromStore,CRYPT32,3,{'tetanus': 3}
CertDuplicateCertificateContext,CRYPT32,3,{'tetanus': 3}
CertDuplicateStore,CRYPT32,3,{'tetanus': 3}
CertEnumCertificatesInStore,CRYPT32,3,{'tetanus': 3}
CertFreeCertificateContext,CRYPT32,3,{'tetanus': 3}
CertGetCertificateContextProperty,CRYPT32,3,{'tetanus': 3}
CertGetEnhancedKeyUsage,CRYPT32,3,{'tetanus': 3}
CertOpenStore,CRYPT32,3,{'tetanus': 3}
CertSetCertificateContextProperty,CRYPT32,3,{'tetanus': 3}
CertVerifyTimeValidity,CRYPT32,3,{'tetanus': 3}
CryptAcquireCertificatePrivateKey,CRYPT32,3,{'tetanus': 3}
CryptBinaryToStringA,CRYPT32,3,{'tetanus': 3}
CryptDecodeObjectEx,CRYPT32,3,{'tetanus': 3}
CryptEncodeObjectEx,CRYPT32,3,{'tetanus': 3}
CryptHashCertificate,CRYPT32,3,{'tetanus': 3}
CryptStringToBinaryA,CRYPT32,3,{'tetanus': 3}
PFXExportCertStore,CRYPT32,3,{'tetanus': 3}
PFXImportCertStore,CRYPT32,3,{'tetanus': 3}
GetTickCount,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
RaiseException,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
RtlAddFunctionTable,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
RtlUnwindEx,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
UnhandledExceptionFilter,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
VirtualProtect,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
VirtualQuery,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
__getmainargs,MSVCRT,3,{'tetanus': 3}
__iob_func,MSVCRT,3,{'tetanus': 3}
__set_app_type,MSVCRT,3,{'tetanus': 3}
_amsg_exit,MSVCRT,3,{'tetanus': 3}
_cexit,MSVCRT,4,"{'tetanus': 3, 'athena': 1}"
