Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,{'msilzilla': 1}
CreateProcessW,KERNEL32,6,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
GetCPInfo,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
CreateFileW,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1, 'convagent': 1}"
GetFileAttributesExW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
GetTempPathW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
GetCurrentDirectoryW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
FindFirstFileExW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
GetFullPathNameW,KERNEL32,7,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}"
OpenProcess,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}",Injection
LoadLibraryExA,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}",Evasion
OpenEventW,KERNEL32,3,{'sharps': 3}
ExitThread,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'malheur': 1, 'cobaltstrike': 1}"
HeapReAlloc,KERNEL32,7,"{'nolabel': 2, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}",Injection
CreateNamedPipeA,KERNEL32,3,{'sharps': 3}
WaitForMultipleObjects,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'shelma': 1}",Evasion
DisconnectNamedPipe,KERNEL32,3,{'sharps': 3}
CreateFileA,KERNEL32,7,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'convagent': 1}",Helper
CancelIoEx,KERNEL32,3,{'sharps': 3}
GetOverlappedResult,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
ConnectNamedPipe,KERNEL32,3,{'sharps': 3},Helper
FlushFileBuffers,KERNEL32,7,"{'nolabel': 2, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
MapViewOfFile,KERNEL32,7,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'convagent': 1}",Injection
GetActiveProcessorGroupCount,KERNEL32,3,{'sharps': 3}
GetSystemTime,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}",Anti-Debugging
SetConsoleCtrlHandler,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
GetLocaleInfoEx,KERNEL32,3,{'sharps': 3}
GetUserDefaultLocaleName,KERNEL32,3,{'sharps': 3}
RtlAddFunctionTable,KERNEL32,3,{'sharps': 3}
CreateDirectoryW,KERNEL32,6,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
RemoveDirectoryW,KERNEL32,6,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
GetFileSizeEx,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
LoadLibraryA,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'shelma': 2, 'malheur': 1, 'cobaltstrike': 1}",Evasion
IsWow64Process,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
InitializeCriticalSectionAndSpinCount,KERNEL32,7,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 2, 'registrystorage': 1}"
AddVectoredExceptionHandler,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
TerminateProcess,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'registrystorage': 1}",Helper
GetCurrentProcessId,KERNEL32,8,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'registrystorage': 1}",Enumeration
RaiseFailFastException,KERNEL32,3,{'sharps': 3}
FreeLibrary,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'cobaltstrike': 1, 'convagent': 1}"
RaiseException,KERNEL32,11,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
WaitForSingleObject,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 1, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1, 'convagent': 1}",Evasion
TlsSetValue,KERNEL32,11,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
TlsGetValue,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1, 'convagent': 1}"
GetSystemInfo,KERNEL32,12,"{'nolabel': 1, 'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1, 'convagent': 1}"
IsDebuggerPresent,KERNEL32,8,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'registrystorage': 1}",Anti-Debugging
LeaveCriticalSection,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'malheur': 1, 'registrystorage': 1, 'convagent': 1}"
EnterCriticalSection,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'malheur': 1, 'registrystorage': 1, 'convagent': 1}"
DeleteCriticalSection,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'malheur': 1, 'registrystorage': 1, 'convagent': 1}"
InitializeCriticalSection,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'malheur': 1, 'cobaltstrike': 1, 'convagent': 1}"
WriteFile,KERNEL32,14,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'registrystorage': 1, 'cobaltstrike': 1}",Helper
GetProcessTimes,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
GetCommandLineW,KERNEL32,10,"{'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'cobaltstrike': 1}"
ReadFile,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'cobaltstrike': 1}",Enumeration
SetFilePointer,KERNEL32,11,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
GetProcAddress,KERNEL32,16,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 3, 'dealply': 2, 'shelma': 2, 'malheur': 1, 'registrystorage': 1}",Evasion
GetModuleHandleExW,KERNEL32,4,"{'sharps': 3, 'cobaltstrike': 1}"
SetErrorMode,KERNEL32,9,"{'nolabel': 1, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1}"
CloseHandle,KERNEL32,17,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 4, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'registrystorage': 1, 'convagent': 1}"
GetCurrentProcess,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'convagent': 1}",Enumeration
FlushProcessWriteBuffers,KERNEL32,3,{'sharps': 3}
SetLastError,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
OutputDebugStringW,KERNEL32,5,"{'sharps': 3, 'cobaltstrike': 2}"
RtlRestoreContext,KERNEL32,3,{'sharps': 3}
DebugBreak,KERNEL32,3,{'sharps': 3}
DecodePointer,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
GetStringTypeW,KERNEL32,7,"{'nolabel': 2, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
RtlVirtualUnwind,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
IsProcessorFeaturePresent,KERNEL32,7,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 2, 'registrystorage': 1}"
RtlUnwindEx,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
EncodePointer,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
TlsFree,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'registrystorage': 1, 'cobaltstrike': 1}"
RtlPcToFileHeader,KERNEL32,3,{'sharps': 3}
InitializeConditionVariable,KERNEL32,3,{'sharps': 3}
WakeConditionVariable,KERNEL32,3,{'sharps': 3}
SleepConditionVariableCS,KERNEL32,3,{'sharps': 3}
SleepConditionVariableSRW,KERNEL32,3,{'sharps': 3}
InitializeSRWLock,KERNEL32,3,{'sharps': 3}
AcquireSRWLockExclusive,KERNEL32,3,{'sharps': 3}
InitializeCriticalSectionEx,KERNEL32,5,"{'sharps': 3, 'cobaltstrike': 2}"
TryEnterCriticalSection,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
GetExitCodeThread,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'malheur': 1}"
CreateFileMappingA,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'convagent': 1}",Evasion
RegGetValueW,ADVAPI32,3,{'sharps': 3}
SetKernelObjectSecurity,ADVAPI32,3,{'sharps': 3}
GetSidSubAuthorityCount,ADVAPI32,3,{'sharps': 3}
GetSidSubAuthority,ADVAPI32,3,{'sharps': 3}
GetTokenInformation,ADVAPI32,4,"{'nolabel': 1, 'sharps': 3}"
DeregisterEventSource,ADVAPI32,3,{'sharps': 3}
ReportEventW,ADVAPI32,3,{'sharps': 3}
RegisterEventSourceW,ADVAPI32,3,{'sharps': 3}
RegQueryValueExW,ADVAPI32,9,"{'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'cobaltstrike': 1}"
RegOpenKeyExW,ADVAPI32,9,"{'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'cobaltstrike': 1}"
RegCloseKey,ADVAPI32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}",Helper
EventRegister,ADVAPI32,3,{'sharps': 3}
AdjustTokenPrivileges,ADVAPI32,8,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}",Injection
OpenProcessToken,ADVAPI32,8,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}",Injection
LookupPrivilegeValueW,ADVAPI32,6,"{'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
SetThreadToken,ADVAPI32,3,{'sharps': 3},Helper
RevertToSelf,ADVAPI32,3,{'sharps': 3}
OpenThreadToken,ADVAPI32,3,{'sharps': 3}
EventWriteTransfer,ADVAPI32,3,{'sharps': 3}
EventWrite,ADVAPI32,3,{'sharps': 3}
CoTaskMemAlloc,OLE32,5,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 1}"
CoTaskMemFree,OLE32,5,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 1}"
CoWaitForMultipleHandles,OLE32,3,{'sharps': 3}
IIDFromString,OLE32,3,{'sharps': 3}
CLSIDFromProgID,OLE32,3,{'sharps': 3}
CoGetMarshalSizeMax,OLE32,3,{'sharps': 3}
CoMarshalInterface,OLE32,3,{'sharps': 3}
CoCreateGuid,OLE32,5,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 1}"
CoGetObjectContext,OLE32,3,{'sharps': 3}
CoRegisterInitializeSpy,OLE32,3,{'sharps': 3}
CoGetContextToken,OLE32,3,{'sharps': 3}
CoGetClassObject,OLE32,3,{'sharps': 3}
CoCreateFreeThreadedMarshaler,OLE32,3,{'sharps': 3}
CreateStreamOnHGlobal,OLE32,4,"{'sharps': 3, 'cobaltstrike': 1}"
StringFromGUID2,OLE32,4,"{'nolabel': 1, 'sharps': 3}"
CoInitializeEx,OLE32,5,"{'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
CoUninitialize,OLE32,7,"{'nolabel': 2, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
CoUnmarshalInterface,OLE32,3,{'sharps': 3}
CoRevokeInitializeSpy,OLE32,3,{'sharps': 3}
CoReleaseMarshalData,OLE32,3,{'sharps': 3}
Ordinal_37,OLEAUT32,3,{'sharps': 3}
Ordinal_18,OLEAUT32,5,"{'nolabel': 1, 'sharps': 3, 'rozena': 1}"
Ordinal_149,OLEAUT32,3,{'sharps': 3}
Ordinal_150,OLEAUT32,3,{'sharps': 3}
Ordinal_411,OLEAUT32,3,{'sharps': 3}
Ordinal_26,OLEAUT32,3,{'sharps': 3}
Ordinal_162,OLEAUT32,4,"{'nolabel': 1, 'sharps': 3}"
Ordinal_202,OLEAUT32,3,{'sharps': 3}
Ordinal_41,OLEAUT32,3,{'sharps': 3}
Ordinal_228,OLEAUT32,3,{'sharps': 3}
