Function,DLL,Occurence,Family,Associated
_initialize_narrow_environment,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{""cobaltstrike"": 4}",
_configure_narrow_argv,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{""cobaltstrike"": 4}",
_initialize_onexit_table,API-MS-WIN-CRT-RUNTIME-L1-1-0,4,"{""cobaltstrike"": 4}",
_register_onexit_function,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_crt_atexit,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_set_app_type,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
_seh_filter_exe,API-MS-WIN-CRT-RUNTIME-L1-1-0,3,"{""cobaltstrike"": 3}",
__setusermatherr,API-MS-WIN-CRT-MATH-L1-1-0,3,"{""cobaltstrike"": 3}",
__p__commode,API-MS-WIN-CRT-STDIO-L1-1-0,3,"{""cobaltstrike"": 3}",
_configthreadlocale,API-MS-WIN-CRT-LOCALE-L1-1-0,3,"{""cobaltstrike"": 3}",
VirtualAllocEx,KERNEL32,1,"{""cobaltstrike"": 1}",Injection
WriteProcessMemory,KERNEL32,1,"{""cobaltstrike"": 1}",Injection
CreateRemoteThread,KERNEL32,1,"{""cobaltstrike"": 1}",Injection
CompareStringEx,KERNEL32,1,"{""cobaltstrike"": 1}",
PeekMessageA,USER32,2,"{""cobaltstrike"": 2}",Spying
PostThreadMessageA,USER32,1,"{""cobaltstrike"": 1}",Spying
QueueUserAPC,KERNEL32,1,"{""cobaltstrike"": 1}",Injection
OutputDebugStringW,KERNEL32,2,"{""cobaltstrike"": 1, ""jobutyve"": 1}",
InterlockedPushEntrySList,KERNEL32,1,"{""cobaltstrike"": 1}",
WinHttpReceiveResponse,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpOpen,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpAddRequestHeaders,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpReadData,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpOpenRequest,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpCloseHandle,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpSendRequest,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpConnect,WINHTTP,1,"{""cobaltstrike"": 1}",
WinHttpQueryDataAvailable,WINHTTP,1,"{""cobaltstrike"": 1}",
CreateProcessA,KERNEL32,3,"{""cobaltstrike"": 3}",Injection
lstrcatW,KERNEL32,1,"{""cobaltstrike"": 1}",
lstrcpyW,KERNEL32,1,"{""cobaltstrike"": 1}",
GetProcessVersion,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalFlags,KERNEL32,1,"{""cobaltstrike"": 1}",
GetFileTime,KERNEL32,1,"{""cobaltstrike"": 1}",Enumeration
LocalReAlloc,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalHandle,KERNEL32,1,"{""cobaltstrike"": 1}",
lstrcmpA,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalGetAtomNameA,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalAddAtomA,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalFindAtomA,KERNEL32,1,"{""cobaltstrike"": 1}",
GlobalDeleteAtom,KERNEL32,1,"{""cobaltstrike"": 1}",
UnlockFile,KERNEL32,1,"{""cobaltstrike"": 1}",
LockFile,KERNEL32,1,"{""cobaltstrike"": 1}",
lstrcpynA,KERNEL32,1,"{""cobaltstrike"": 1}",
InterlockedIncrement,KERNEL32,1,"{""cobaltstrike"": 1}",
FreeEnvironmentStringsA,KERNEL32,1,"{""cobaltstrike"": 1}",
GetEnvironmentStrings,KERNEL32,1,"{""cobaltstrike"": 1}",
